TIMESTAMP,GLOBAL_Avg,DIRECT_Avg
2022-12-31 19:49:00,-2.30617,-0.086393
2022-12-31 19:50:00,-2.35298,-0.233857
2022-12-31 19:51:00,-2.19086,-0.226409
2022-12-31 19:52:00,-2.1372,-0.259178
2022-12-31 19:53:00,-2.10752,-0.257689
2022-12-31 19:54:00,-2.04245,-0.226409
2022-12-31 19:55:00,-1.98651,-0.226409
2022-12-31 19:56:00,-2.11893,-0.238325
2022-12-31 19:57:00,-2.13035,-0.196618
2022-12-31 19:58:00,-2.0493,-0.0968197
2022-12-31 19:59:00,-1.90545,-0.196619
2022-12-31 20:00:00,-1.82553,-0.293438
2022-12-31 20:01:00,-1.91229,-0.321739
2022-12-31 20:02:00,-2.04016,-0.236835
2022-12-31 20:03:00,-2.08011,-0.111714
2022-12-31 20:04:00,-2.02188,-0.0714969
2022-12-31 20:05:00,-2.05156,-0.0997978
2022-12-31 20:06:00,-2.07439,-0.142994
2022-12-31 20:07:00,-2.15888,-0.0983083
2022-12-31 20:08:00,-2.0938,-0.0476646
2022-12-31 20:09:00,-1.96936,-0.0670284
2022-12-31 20:10:00,-1.96479,-0.24726
2022-12-31 20:11:00,-2.05499,-0.201085
2022-12-31 20:12:00,-2.13719,-0.142994
2022-12-31 20:13:00,-2.16573,-0.065539
2022-12-31 20:14:00,-2.17145,-0.0446859
2022-12-31 20:15:00,-2.22396,-0.0446859
2022-12-31 20:16:00,-2.23196,-0.0491546
2022-12-31 20:17:00,-2.24339,-0.0714979
2022-12-31 20:18:00,-2.2468,-0.0714974
2022-12-31 20:19:00,-2.22396,-0.0521335
2022-12-31 20:20:00,-2.24109,-0.105757
2022-12-31 20:21:00,-2.38951,-0.0774555
2022-12-31 20:22:00,-2.45229,-0.0431963
2022-12-31 20:23:00,-2.31415,-0.0327695
2022-12-31 20:24:00,-2.33127,-0.09384
2022-12-31 20:25:00,-2.32101,-0.108736
2022-12-31 20:26:00,-2.31872,-0.138526
2022-12-31 20:27:00,-2.35868,-0.114694
2022-12-31 20:28:00,-2.34041,-0.0640497
2022-12-31 20:29:00,-2.24108,-0.0804342
2022-12-31 20:30:00,-2.2662,-0.153421
2022-12-31 20:31:00,-2.36095,-0.128099
2022-12-31 20:32:00,-2.38607,-0.080434
2022-12-31 20:33:00,-2.30044,-0.0446856
2022-12-31 20:34:00,-2.21254,-0.0536229
2022-12-31 20:35:00,-2.16231,-0.0997981
2022-12-31 20:36:00,-2.07668,-0.12512
2022-12-31 20:37:00,-2.00476,-0.12363
2022-12-31 20:38:00,-1.95109,-0.142994
2022-12-31 20:39:00,-1.97963,-0.174273
2022-12-31 20:40:00,-2.06526,-0.0804339
2022-12-31 20:41:00,-2.10635,-0.0402168
2022-12-31 20:42:00,-2.1406,-0.0238323
2022-12-31 20:43:00,-2.13033,-0.0342588
2022-12-31 20:44:00,-2.18171,-0.0610703
2022-12-31 20:45:00,-2.16688,-0.0163848
2022-12-31 20:46:00,-2.14404,-0.03128
2022-12-31 20:47:00,-2.12234,-0.0551122
2022-12-31 20:48:00,-2.09379,-0.093839
2022-12-31 20:49:00,-2.07553,-0.0997975
2022-12-31 20:50:00,-2.11777,-0.0938395
2022-12-31 20:51:00,-2.05954,-0.0491539
2022-12-31 20:52:00,-2.02187,-0.0655386
2022-12-31 20:53:00,-1.96593,-0.102777
2022-12-31 20:54:00,-1.9922,-0.134057
2022-12-31 20:55:00,-2.06297,-0.168315
2022-12-31 20:56:00,-2.02872,-0.052133
2022-12-31 20:57:00,-1.90314,-0.0685178
2022-12-31 20:58:00,-1.9294,-0.12512
2022-12-31 20:59:00,-1.97049,-0.137035
2022-12-31 21:00:00,-1.9488,-0.0878813
2022-12-31 21:01:00,-1.93738,-0.0625594
2022-12-31 21:02:00,-1.90314,-0.0759654
2022-12-31 21:03:00,-1.96707,-0.144483
2022-12-31 21:04:00,-1.96136,-0.0759652
2022-12-31 21:05:00,-1.92826,-0.0580912
2022-12-31 21:06:00,-1.90314,-0.0714968
2022-12-31 21:07:00,-1.89629,-0.0789444
2022-12-31 21:08:00,-1.91798,-0.117672
2022-12-31 21:09:00,-1.93853,-0.108735
2022-12-31 21:10:00,-1.90543,-0.0849027
2022-12-31 21:11:00,-1.91342,-0.0506436
2022-12-31 21:12:00,-1.94652,-0.0908602
2022-12-31 21:13:00,-1.98304,-0.0700068
2022-12-31 21:14:00,-1.95679,-0.0521329
2022-12-31 21:15:00,-1.95223,-0.134056
2022-12-31 21:16:00,-1.94994,-0.157889
2022-12-31 21:17:00,-1.94081,-0.169804
2022-12-31 21:18:00,-1.95451,-0.177252
2022-12-31 21:19:00,-1.95109,-0.165336
2022-12-31 21:20:00,-1.93396,-0.15491
2022-12-31 21:21:00,-1.94195,-0.169805
2022-12-31 21:22:00,-1.91455,-0.15193
2022-12-31 21:23:00,-1.92711,-0.163846
2022-12-31 21:24:00,-1.92482,-0.175762
2022-12-31 21:25:00,-1.92482,-0.172783
2022-12-31 21:26:00,-1.88486,-0.156398
2022-12-31 21:27:00,-1.85632,-0.157888
2022-12-31 21:28:00,-1.81636,-0.166825
2022-12-31 21:29:00,-1.81065,-0.177251
2022-12-31 21:30:00,-1.8232,-0.169803
2022-12-31 21:31:00,-1.81635,-0.151929
2022-12-31 21:32:00,-1.84833,-0.169804
2022-12-31 21:33:00,-1.84033,-0.108734
2022-12-31 21:34:00,-1.82321,-0.080433
2022-12-31 21:35:00,-1.77184,-0.104265
2022-12-31 21:36:00,-1.74672,-0.114692
2022-12-31 21:37:00,-1.76155,-0.126607
2022-12-31 21:38:00,-1.74557,-0.0849013
2022-12-31 21:39:00,-1.6942,-0.0491535
2022-12-31 21:40:00,-1.59032,-0.0566013
2022-12-31 21:41:00,-1.55492,-0.0625592
2022-12-31 21:42:00,-1.50583,-0.0655382
2022-12-31 21:43:00,-1.5241,-0.0595801
2022-12-31 21:44:00,-1.48528,-0.044685
2022-12-31 21:45:00,-1.46587,-0.0506429
2022-12-31 21:46:00,-1.47271,-0.0625587
2022-12-31 21:47:00,-1.47271,-0.061069
2022-12-31 21:48:00,-1.4807,-0.0521321
2022-12-31 21:49:00,-1.53437,-0.0655378
2022-12-31 21:50:00,-1.55606,-0.0580904
2022-12-31 21:51:00,-1.58574,-0.0685168
2022-12-31 21:52:00,-1.61999,-0.0700065
2022-12-31 21:53:00,-1.6805,-0.0685169
2022-12-31 21:54:00,-1.69991,-0.062559
2022-12-31 21:55:00,-1.73873,-0.0431956
2022-12-31 21:56:00,-1.76841,-0.0372377
2022-12-31 21:57:00,-1.80153,-0.0417063
2022-12-31 21:58:00,-1.8118,-0.0700069
2022-12-31 21:59:00,-1.82435,-0.0983073
2022-12-31 22:00:00,-1.87915,-0.102775
2022-12-31 22:01:00,-1.89969,-0.0938383
2022-12-31 22:02:00,-1.88599,-0.101286
2022-12-31 22:03:00,-1.92138,-0.131076
2022-12-31 22:04:00,-1.94878,-0.122138
2022-12-31 22:05:00,-1.9933,-0.119159
2022-12-31 22:06:00,-2.00243,-0.125117
2022-12-31 22:07:00,-1.94649,-0.119159
2022-12-31 22:08:00,-1.91909,-0.151928
2022-12-31 22:09:00,-1.95105,-0.180228
2022-12-31 22:10:00,-1.95676,-0.178738
2022-12-31 22:11:00,-1.9853,-0.177249
2022-12-31 22:12:00,-2.05038,-0.17427
2022-12-31 22:13:00,-2.02755,-0.159376
2022-12-31 22:14:00,-2.08691,-0.17576
2022-12-31 22:15:00,-2.07778,-0.162354
2022-12-31 22:16:00,-2.02869,-0.180228
2022-12-31 22:17:00,-1.96361,-0.180228
2022-12-31 22:18:00,-1.9385,-0.186186
2022-12-31 22:19:00,-1.93051,-0.192145
2022-12-31 22:20:00,-2.00815,-0.199593
2022-12-31 22:21:00,-2.02528,-0.181719
2022-12-31 22:22:00,-2.03669,-0.17874
2022-12-31 22:23:00,-2.03668,-0.17725
2022-12-31 22:24:00,-2.04924,-0.17725
2022-12-31 22:25:00,-2.02984,-0.154908
2022-12-31 22:26:00,-2.01386,-0.14746
