TIMESTAMP,GLOBAL_Avg,DIRECT_Avg,DIFFUSE_Avg,GH_CALC_Avg,percent
2022-12-31 18:59:00,-2.36103,0.0238331,-3.32786,-3.32786,-0.03334760469147705
2022-12-31 19:00:00,-2.55968,0.217477,-3.64187,-3.64187,-0.03705657361647444
2022-12-31 19:01:00,-2.54141,0.210029,-3.60994,-3.60994,-0.036723378469854566
2022-12-31 19:02:00,-2.48433,0.0923533,-3.52079,-3.52079,-0.03548575007973151
2022-12-31 19:03:00,-2.34161,0.00893742,-3.39304,-3.39304,-0.033957626203376015
2022-12-31 19:04:00,-2.29821,-0.0968211,-3.32517,-3.32517,-0.03295310105099639
2022-12-31 19:05:00,-2.16921,-0.142998,-3.1309,-3.1309,-0.030862604412714694
2022-12-31 19:06:00,-1.8541,-0.0744781,-2.6652,-2.6652,-0.026416700921421996
2022-12-31 19:07:00,-1.55955,-0.245778,-1.95599,-1.95599,-0.0187741795645506
2022-12-31 19:08:00,-1.14968,-0.418567,-0.96735,-0.96735,-0.008319693090424773
2022-12-31 19:09:00,-1.11201,-0.460277,-0.428456,-0.428456,-0.0027786030941237545
2022-12-31 19:10:00,-1.15083,-0.55859,-0.146368,-0.146368,0.00038493250369553287
2022-12-31 19:11:00,-1.2513,-0.478153,-0.251486,-0.251486,-0.0009145838379630708
2022-12-31 19:12:00,-1.48306,-0.446871,-0.565509,-0.565509,-0.004142836216113645
2022-12-31 19:13:00,-1.74337,-0.263654,-1.18424,-1.18424,-0.010940347529778552
2022-12-31 19:14:00,-1.86781,-0.105759,-1.64729,-1.64729,-0.016107127156464604
2022-12-31 19:15:00,-1.96941,-0.0506449,-2.01453,-2.01453,-0.0199682524794909
2022-12-31 19:16:00,-2.03791,-0.0491553,-2.12363,-2.12363,-0.021062644688468423
2022-12-31 19:17:00,-2.07101,-0.0446865,-2.19681,-2.19681,-0.02180856970241071
2022-12-31 19:18:00,-2.12468,-0.0595821,-2.32854,-2.32854,-0.023070489223997365
2022-12-31 19:19:00,-2.24569,-0.0521342,-2.75033,-2.75033,-0.027313320114114525
2022-12-31 19:20:00,-2.18288,-0.00595818,-2.73568,-2.73568,-0.027334868410286716
2022-12-31 19:21:00,-2.12808,-0.0685187,-2.58399,-2.58399,-0.02558515492083272
2022-12-31 19:22:00,-2.14293,-0.0893726,-2.63856,-2.63856,-0.026050037971040815
2022-12-31 19:23:00,-2.13723,-0.147465,-2.60131,-2.60131,-0.025453963628452817
2022-12-31 19:24:00,-2.16349,-0.205558,-2.60797,-2.60797,-0.02529276528857241
2022-12-31 19:25:00,-2.22287,-0.213007,-2.7304,-2.7304,-0.02648072430061757
2022-12-31 19:26:00,-2.26741,-0.208539,-2.94597,-2.94597,-0.028646045987922975
2022-12-31 19:27:00,-2.34619,-0.114697,-3.23871,-3.23871,-0.03193538924867921
2022-12-31 19:28:00,-2.42381,-0.0521347,-3.35046,-3.35046,-0.03329738113422292
2022-12-31 19:29:00,-2.50258,-0.0461764,-3.57799,-3.57799,-0.03559467880252682
2022-12-31 19:30:00,-2.56766,-0.0178748,-3.90132,-3.90132,-0.03894085021165356
2022-12-31 19:31:00,-2.60761,0.0595822,-4.03703,-4.03703,-0.04061363024142609
2022-12-31 19:32:00,-2.53225,0.0223433,-3.90663,-3.90663,-0.03915835960601357
2022-12-31 19:33:00,-2.50827,-0.0402178,-3.87335,-3.87335,-0.03856633635345059
2022-12-31 19:34:00,-2.55394,-0.0506447,-3.83876,-3.83876,-0.03817526604382752
2022-12-31 19:35:00,-2.56763,-0.0908621,-3.90128,-3.90128,-0.038628570225504366
2022-12-31 19:36:00,-2.53452,-0.0893726,-3.9412,-3.9412,-0.03903084907710459
2022-12-31 19:37:00,-2.52538,-0.113205,-3.85071,-3.85071,-0.03802022146550978
2022-12-31 19:38:00,-2.56649,-0.12959,-3.87333,-3.87333,-0.038171280432006655
2022-12-31 19:39:00,-2.5528,-0.137038,-3.86936,-3.86936,-0.03809437018828428
2022-12-31 19:40:00,-2.47859,-0.140018,-3.85074,-3.85074,-0.03789011149928238
2022-12-31 19:41:00,-2.42722,-0.138528,-3.79219,-3.79219,-0.03730623732604953
2022-12-31 19:42:00,-2.3747,-0.137039,-3.65913,-3.65913,-0.035977353268059974
2022-12-31 19:43:00,-2.33588,-0.192152,-3.59259,-3.59259,-0.03505821292484989
2022-12-31 19:44:00,-2.30848,-0.195131,-3.64317,-3.64317,-0.035543609345940065
2022-12-31 19:45:00,-2.36213,-0.193641,-3.81214,-3.81214,-0.03723323638397946
2022-12-31 19:46:00,-2.51283,-0.125122,-4.04632,-4.04632,-0.039884869865524364
2022-12-31 19:47:00,-2.61557,-0.0804351,-4.06493,-4.06493,-0.04027468310690252
2022-12-31 19:48:00,-2.59502,-0.0402176,-3.9851,-3.9851,-0.039662270379333724
2022-12-31 19:49:00,-2.30617,-0.086393,-3.64446,-3.64446,-0.0360361366149676
2022-12-31 19:50:00,-2.35298,-0.233857,-3.50075,-3.50075,-0.03389364006695675
2022-12-31 19:51:00,-2.19086,-0.226409,-3.24927,-3.24927,-0.03140636675352971
2022-12-31 19:52:00,-2.1372,-0.259178,-3.05234,-3.05234,-0.02927079878319753
2022-12-31 19:53:00,-2.10752,-0.257689,-3.03105,-3.03105,-0.02905604916413364
2022-12-31 19:54:00,-2.04245,-0.226409,-2.97384,-2.97384,-0.028628327060521375
